Card ID,Card Name,1st Edition?,Card Set,Rarity,Quantity,Est. Max Price Per Card
IOC-096,,N,Invasion of Chaos,,,13.00,
IOC-097,,N,Invasion of Chaos,,,3.00,
IOC-098,,N,Invasion of Chaos,,,8.99,
IOC-099,,N,Invasion of Chaos,,,3.05,
IOC-100,,N,Invasion of Chaos,,,50.00,
IOC-101,Destruction Ring,N,Invasion of Chaos,Rare,1,21.99,
IOC-102,,N,Invasion of Chaos,,,15.00,
IOC-103,Compulsory Evacuation Device,N,Invasion of Chaos,Rare,1,21.99,
LOB-002,Hitotsu-Me Giant,N,Legend of Blue Eyes White Dragon,Common,2,1305.00,
LOB-003,Flame Swordsman,N,Legend of Blue Eyes White Dragon,Super Rare,1,3550.00,
LOB-004,Skull Servant,N,Legend of Blue Eyes White Dragon,Common,4,199.99,
LOB-007,Celtic Guardian,N,Legend of Blue Eyes White Dragon,Super Rare,1,450.00,
LOB-008,Basic Insect,N,Legend of Blue Eyes White Dragon,Common,2,64.07,
LOB-009,Mammoth Graveyard,N,Legend of Blue Eyes White Dragon,Common,5,341.00,
LOB-010,Silver Fang,N,Legend of Blue Eyes White Dragon,Common,1,150.15,
LOB-011,Dark Gray,N,Legend of Blue Eyes White Dragon,Common,5,65.33,
LOB-012,Trial of Nightmare,N,Legend of Blue Eyes White Dragon,Common,3,395.00,
LOB-013,Nemuriko,N,Legend of Blue Eyes White Dragon,Common,3,80.00,
LOB-014,The 13th Grave,N,Legend of Blue Eyes White Dragon,Common,5,140.00,
LOB-015,Charubin the Fire Knight,N,Legend of Blue Eyes White Dragon,Rare,2,122.18,
LOB-016,Flame Manipulator,N,Legend of Blue Eyes White Dragon,Common,1,7.55,
LOB-017,Monster Egg,N,Legend of Blue Eyes White Dragon,Common,4,150.15,
LOB-018,Firegrass,N,Legend of Blue Eyes White Dragon,Common,5,39.99,
LOB-019,Darkfire Dragon,N,Legend of Blue Eyes White Dragon,Rare,2,104.90,
LOB-020,Dark King of the Abyss,N,Legend of Blue Eyes White Dragon,Common,3,2.99,
LOB-021,Fiend Reflection #2,N,Legend of Blue Eyes White Dragon,Common,3,98.82,
LOB-022,Fusionist,N,Legend of Blue Eyes White Dragon,Rare,2,158.03,
LOB-023,Turtle Tiger,N,Legend of Blue Eyes White Dragon,Common,5,98.00,
LOB-024,Petit Dragon,N,Legend of Blue Eyes White Dragon,Common,4,300.00,
LOB-026,Hinotama Soul,N,Legend of Blue Eyes White Dragon,Common,6,66.85,
LOB-027,Aqua Madoor,N,Legend of Blue Eyes White Dragon,Rare,1,102.50,
LOB-028,Kagemusha of the Blue Flame,N,Legend of Blue Eyes White Dragon,Common,3,66.80,
LOB-030,Two-Mouth Darkruler,N,Legend of Blue Eyes White Dragon,Common,4,49.99,
LOB-031,Dissolverock,N,Legend of Blue Eyes White Dragon,Common,2,102.94,
LOB-032,Root Water,N,Legend of Blue Eyes White Dragon,Common,4,65.50,
LOB-033,The Furious Sea King,N,Legend of Blue Eyes White Dragon,Common,1,150.15,
LOB-034,Green Phantom King,N,Legend of Blue Eyes White Dragon,Common,4,100.84,
LOB-035,Ray & Temperature,N,Legend of Blue Eyes White Dragon,Common,7,777.55,
LOB-036,King Fog,N,Legend of Blue Eyes White Dragon,Common,3,17.00,
LOB-037,Mystical Sheep #2,N,Legend of Blue Eyes White Dragon,Common,3,185.00,
LOB-039,Kurama,N,Legend of Blue Eyes White Dragon,Common,4,99.62,
LOB-040,Legendary Sword,N,Legend of Blue Eyes White Dragon,Common,1,150.00,
LOB-041,Beast Fangs,N,Legend of Blue Eyes White Dragon,Common,1,64.13,
LOB-042,Violet Crystal,N,Legend of Blue Eyes White Dragon,Common,1,64.76,
LOB-043,Book of Secret Arts,N,Legend of Blue Eyes White Dragon,Common,3,54.99,
LOB-044,Power of Kaishin,N,Legend of Blue Eyes White Dragon,Common,1,23.75,
LOB-045,Dragon Capture Jar,N,Legend of Blue Eyes White Dragon,Rare,1,134.74,
LOB-046,Forest,N,Legend of Blue Eyes White Dragon,Common,3,106.28,
LOB-047,Wasteland,N,Legend of Blue Eyes White Dragon,Common,2,100.00,
LOB-048,Mountain,N,Legend of Blue Eyes White Dragon,Common,2,66.05,
LOB-049,Sogen,N,Legend of Blue Eyes White Dragon,Common,1,150.15,
LOB-050,Umi,N,Legend of Blue Eyes White Dragon,Common,3,499.99,
LOB-051,Yami,N,Legend of Blue Eyes White Dragon,Common,4,70.18,
LOB-054,Red Medicine,N,Legend of Blue Eyes White Dragon,Common,5,99.47,
LOB-055,Sparks,N,Legend of Blue Eyes White Dragon,Common,3,134.75,
LOB-056,Hinotama,N,Legend of Blue Eyes White Dragon,Common,2,499.00,
LOB-057,Fissure,N,Legend of Blue Eyes White Dragon,Rare,1,59.99,
LOB-060,Remove Trap,N,Legend of Blue Eyes White Dragon,Common,3,180.00,
LOB-061,Two-Pronged Attack,N,Legend of Blue Eyes White Dragon,Rare,1,90.00,
LOB-063,Typhone,N,Legend of Blue Eyes White Dragon,Common,2,99.89,
LOB-064,Beaver Warrior,N,Legend of Blue Eyes White Dragon,Common,4,103.18,
LOB-065,Gravedigger Ghoul,N,Legend of Blue Eyes White Dragon,Rare,2,345.00,
LOB-067,Karbonala Warrior,N,Legend of Blue Eyes White Dragon,Rare,2,138.60,
LOB-069,Uraby,N,Legend of Blue Eyes White Dragon,Common,6,150.15,
LOB-072,Witty Phantom,N,Legend of Blue Eyes White Dragon,Common,5,14.99,
LOB-073,Larvas,N,Legend of Blue Eyes White Dragon,Common,3,18.49,
LOB-074,Hard Armor,N,Legend of Blue Eyes White Dragon,Common,6,118.42,
LOB-075,Man Eater,N,Legend of Blue Eyes White Dragon,Common,3,107.50,
LOB-077,M-Warrior #2,N,Legend of Blue Eyes White Dragon,Common,4,65.63,
LOB-079,Armaill,N,Legend of Blue Eyes White Dragon,Common,6,65.04,
LOB-080,Terra the Terrible,N,Legend of Blue Eyes White Dragon,Common,5,150.15,
LOB-081,Frenzied Panda,N,Legend of Blue Eyes White Dragon,Common,1,24.47,
LOB-082,Kumootoko,N,Legend of Blue Eyes White Dragon,Common,5,110.74,
LOB-083,Meda Bat,N,Legend of Blue Eyes White Dragon,Common,2,134.75,
LOB-084,Enchanting Mermaid,N,Legend of Blue Eyes White Dragon,Common,2,140.00,
LOB-085,Fireyarou,N,Legend of Blue Eyes White Dragon,Common,5,65.04,
LOB-087,One-Eyed Shield Dragon,N,Legend of Blue Eyes White Dragon,Common,1,65.91,
LOB-088,Dark Energy,N,Legend of Blue Eyes White Dragon,Common,1,64.76,
LOB-090,Vile Germs,N,Legend of Blue Eyes White Dragon,Common,2,20.00,
LOB-093,Electro-Whip,N,Legend of Blue Eyes White Dragon,Common,3,70.00,
LOB-096,Machine Conversion Factory,N,Legend of Blue Eyes White Dragon,Common,1,39.99,
LOB-098,Follow Wind,N,Legend of Blue Eyes White Dragon,Common,1,150.00,
LOB-101,Swords of Revealing Light,N,Legend of Blue Eyes White Dragon,Super Rare,1,299.99,
LOB-103,Spike Seadra,N,Legend of Blue Eyes White Dragon,Common,4,70.43,
LOB-104,Tripwire Beast,N,Legend of Blue Eyes White Dragon,Common,3,60.00,
LOB-105,Skull Red Bird,N,Legend of Blue Eyes White Dragon,Common,4,399.95,
LOB-107,Flower Wolf,N,Legend of Blue Eyes White Dragon,Rare,2,199.99,
LOB-108,Man-Eater Bug,N,Legend of Blue Eyes White Dragon,Super Rare,1,1999.99,
LOB-109,Sand Stone,N,Legend of Blue Eyes White Dragon,Common,2,102.22,
LOB-110,Hane-Hane,N,Legend of Blue Eyes White Dragon,Rare,1,227.66,
LOB-111,Misairuzame,N,Legend of Blue Eyes White Dragon,Common,5,60.00,
LOB-112,Steel Ogre Grotto #1,N,Legend of Blue Eyes White Dragon,Common,3,147.93,
LOB-113,Lesser Dragon,N,Legend of Blue Eyes White Dragon,Common,1,65.63,
LOB-114,Darkworld Thorns,N,Legend of Blue Eyes White Dragon,Common,5,70.30,
LOB-115,Drooling Lizard,N,Legend of Blue Eyes White Dragon,Common,4,360.00,
LOB-116,Armored Starfish,N,Legend of Blue Eyes White Dragon,Common,2,74.32,
LOB-117,Succubus Knight,N,Legend of Blue Eyes White Dragon,Common,5,225.00,
LOB-119,Pot of Greed,N,Legend of Blue Eyes White Dragon,Rare,2,349.99,
LOB-120,,N,Legend of Blue Eyes White Dragon,,,1223.99,
LOB-121,,N,Legend of Blue Eyes White Dragon,,,745.00,
LOB-122,,N,Legend of Blue Eyes White Dragon,,,1105.75,
LOB-123,,N,Legend of Blue Eyes White Dragon,,,1214.87,
LOB-124,Exodia the Forbidden One,N,Legend of Blue Eyes White Dragon,Ultra Rare,1,4500.00,
LOD-017,Throwstone Unit,N,Legacy of Darkness,Common,1,1.95,
LOD-020,Warrior Dai Grepher,N,Legacy of Darkness,Common,2,1.95,
LOD-024,The Hunter with 7 Weapons,N,Legacy of Darkness,Common,1,1.95,
LOD-028,Reinforcement of the Army,N,Legacy of Darkness,Super Rare,1,50.00,
LOD-037,The Dragon Dwelling in the Cave,N,Legacy of Darkness,Common,3,2.60,
LOD-043,Earthquake,N,Legacy of Darkness,Common,1,72.00,
LOD-046,Stamping Destruction,N,Legacy of Darkness,Common,4,3.49,
LOD-047,Micro Ray,N,Legacy of Darkness,Common,1,16.49,
LOD-048,Light of Judgement,N,Legacy of Darkness,Common,1,3.80,
LOD-051,Robotic Knight,N,Legacy of Darkness,Common,1,1.95,
LOD-052,Wolf Axwielder,N,Legacy of Darkness,Common,1,1.95,
LOD-064,Magaraghi,N,Legacy of Darkness,Common,1,0.99,
LOD-074,Super Roboyarou,N,Legacy of Darkness,Common,1,6.55,
LOD-076,Spring of Rebirth,N,Legacy of Darkness,Common,1,4.25,
LOD-084,Convulsion of Nature,N,Legacy of Darkness,Common,2,20.00,
LOD-085,The Secret of the Bandit,N,Legacy of Darkness,Common,1,1.64,
LOD-095,Spirit's Invitation,N,Legacy of Darkness,Common,3,3.40,
LOD-096,Nutrient Z,N,Legacy of Darkness,Common,4,7.76,
LOD-098,Fiend Comedian,N,Legacy of Darkness,Common,1,9.63,
